industrial_classification,year AD,year BS,value
Agriculture and forestry,2000/01,2057/58,36.15
Agriculture and forestry,2005/06,2062/63,33.09
Agriculture and forestry,2006/07,2063/64,32.05
Agriculture and forestry,2007/08,2064/65,31.22
Agriculture and forestry,2008/09,2065/66,32.54
Agriculture and forestry,2009/10,2066/67,35.0
Agriculture and forestry,2010/11,2067/68,36.54
Agriculture and forestry,2011/12,2068/69,34.78
Fishing,2000/01,2057/58,0.43
Fishing,2005/06,2062/63,0.49
Fishing,2006/07,2063/64,0.47
Fishing,2007/08,2064/65,0.5
Fishing,2008/09,2065/66,0.43
Fishing,2009/10,2066/67,0.38
Fishing,2010/11,2067/68,0.35
Fishing,2011/12,2068/69,0.34
Mining and quarrying,2000/01,2057/58,0.43
Mining and quarrying,2005/06,2062/63,0.5
Mining and quarrying,2006/07,2063/64,0.49
Mining and quarrying,2007/08,2064/65,0.56
Mining and quarrying,2008/09,2065/66,0.54
Mining and quarrying,2009/10,2066/67,0.53
Mining and quarrying,2010/11,2067/68,0.54
Mining and quarrying,2011/12,2068/69,0.56
Manufacturing,2000/01,2057/58,9.03
Manufacturing,2005/06,2062/63,7.59
Manufacturing,2006/07,2063/64,7.48
Manufacturing,2007/08,2064/65,7.34
Manufacturing,2008/09,2065/66,6.97
Manufacturing,2009/10,2066/67,6.34
Manufacturing,2010/11,2067/68,6.17
Manufacturing,2011/12,2068/69,6.17
Electricty gas and water,2000/01,2057/58,1.82
Electricty gas and water,2005/06,2062/63,2.09
Electricty gas and water,2006/07,2063/64,2.13
Electricty gas and water,2007/08,2064/65,1.95
Electricty gas and water,2008/09,2065/66,1.56
Electricty gas and water,2009/10,2066/67,1.36
Electricty gas and water,2010/11,2067/68,1.19
Electricty gas and water,2011/12,2068/69,1.13
Construction,2000/01,2057/58,6.01
Construction,2005/06,2062/63,6.5
Construction,2006/07,2063/64,6.47
Construction,2007/08,2064/65,6.95
Construction,2008/09,2065/66,6.79
Construction,2009/10,2066/67,6.91
Construction,2010/11,2067/68,6.93
Construction,2011/12,2068/69,6.73
Wholesale and retail trade,2000/01,2057/58,16.44
Wholesale and retail trade,2005/06,2062/63,14.31
Wholesale and retail trade,2006/07,2063/64,13.29
Wholesale and retail trade,2007/08,2064/65,13.51
Wholesale and retail trade,2008/09,2065/66,13.22
Wholesale and retail trade,2009/10,2066/67,14.4
Wholesale and retail trade,2010/11,2067/68,14.16
Wholesale and retail trade,2011/12,2068/69,14.24
Hotels and restaurants,2000/01,2057/58,1.99
Hotels and restaurants,2005/06,2062/63,1.49
Hotels and restaurants,2006/07,2063/64,1.44
Hotels and restaurants,2007/08,2064/65,1.48
Hotels and restaurants,2008/09,2065/66,1.49
Hotels and restaurants,2009/10,2066/67,1.55
Hotels and restaurants,2010/11,2067/68,1.7
Hotels and restaurants,2011/12,2068/69,1.78
"Transport, storage and communications",2000/01,2057/58,7.39
"Transport, storage and communications",2005/06,2062/63,9.72
"Transport, storage and communications",2006/07,2063/64,9.97
"Transport, storage and communications",2007/08,2064/65,9.86
"Transport, storage and communications",2008/09,2065/66,9.86
"Transport, storage and communications",2009/10,2066/67,8.52
"Transport, storage and communications",2010/11,2067/68,7.97
"Transport, storage and communications",2011/12,2068/69,8.33
Financial intermediation,2000/01,2057/58,2.69
Financial intermediation,2005/06,2062/63,3.49
Financial intermediation,2006/07,2063/64,4.08
Financial intermediation,2007/08,2064/65,4.3
Financial intermediation,2008/09,2065/66,4.16
Financial intermediation,2009/10,2066/67,4.12
Financial intermediation,2010/11,2067/68,4.3
Financial intermediation,2011/12,2068/69,4.66
"Real estate, renting and business activities",2000/01,2057/58,8.29
"Real estate, renting and business activities",2005/06,2062/63,9.53
"Real estate, renting and business activities",2006/07,2063/64,10.15
"Real estate, renting and business activities",2007/08,2064/65,9.45
"Real estate, renting and business activities",2008/09,2065/66,8.69
"Real estate, renting and business activities",2009/10,2066/67,8.38
"Real estate, renting and business activities",2010/11,2067/68,8.24
"Real estate, renting and business activities",2011/12,2068/69,8.17
Public administration and defence,2000/01,2057/58,1.24
Public administration and defence,2005/06,2062/63,1.74
Public administration and defence,2006/07,2063/64,1.75
Public administration and defence,2007/08,2064/65,1.84
Public administration and defence,2008/09,2065/66,1.98
Public administration and defence,2009/10,2066/67,1.94
Public administration and defence,2010/11,2067/68,1.93
Public administration and defence,2011/12,2068/69,2.12
Education,2000/01,2057/58,4.08
Education,2005/06,2062/63,5.55
Education,2006/07,2063/64,5.87
Education,2007/08,2064/65,6.25
Education,2008/09,2065/66,6.67
Education,2009/10,2066/67,5.49
Education,2010/11,2067/68,4.86
Education,2011/12,2068/69,5.5
Health and social work,2000/01,2057/58,0.98
Health and social work,2005/06,2062/63,1.24
Health and social work,2006/07,2063/64,1.23
Health and social work,2007/08,2064/65,1.41
Health and social work,2008/09,2065/66,1.46
Health and social work,2009/10,2066/67,1.38
Health and social work,2010/11,2067/68,1.28
Health and social work,2011/12,2068/69,1.55
"Other community, social and personal service activities",2000/01,2057/58,3.03
"Other community, social and personal service activities",2005/06,2062/63,2.67
"Other community, social and personal service activities",2006/07,2063/64,3.12
"Other community, social and personal service activities",2007/08,2064/65,3.4
"Other community, social and personal service activities",2008/09,2065/66,3.63
"Other community, social and personal service activities",2009/10,2066/67,3.7
"Other community, social and personal service activities",2010/11,2067/68,3.83
"Other community, social and personal service activities",2011/12,2068/69,3.96
