District,Zone,Geographical Region,Development Region,Code,Recurrent Upto last Month,Recurrent This Month,Recurrent total  upto This Month,Capital upto last month,Capital this month,Capital total upto This Moth,Financing upto last month,Financing  this month,Financing  total upto This Month
Taplejung,Mechi,Mountain,Eastern,1,452779447,66288141,519067588,12482985,10430369,22913354,,,0
Panchthar,Mechi,Hill,Eastern,2,567150902,77534384,644685286,6148384,2953320,9101704,,,0
Ilam,Mechi,Hill,Eastern,3,705328910,62945273,768274183,29091407,18128647,47220054,,,0
Jhapa,Mechi,Terai,Eastern,4,1298140564,209771538,1507912102,49636187,25945737,75581924,,,0
Sankhuwasabha,Kosi,Mountain,Eastern,5,509556352,39216627,548772979,10667892,33199931,43867823,,,0
Terhathum,Kosi,Hill,Eastern,6,343598594,53795334,397393928,4278265,3378665,7656930,,,0
Bhojpur,Kosi,Hill,Eastern,7,563530261,90457297,653987558,9419815,1710552,11130367,,,0
Dhankuta,Kosi,Hill,Eastern,8,613555724,113202764,726758488,93814800,8280656,102095456,,,0
Sunsari,Kosi,Terai,Eastern,9,1411912538,233141241,1645053779,50874728,29332913,80207641,,,0
Morang,Kosi,Terai,Eastern,10,1615814092,251620068,1867434161,112893801,64819701,177713502,,,0
Solukhumbu,Sagarmatha,Mountain,Eastern,11,393267106,65883153,459150259,14266633,3613900,17880533,,,0
Khotang,Sagarmatha,Hill,Eastern,12,675617509,101810075,777427585,1618364,641878,2260242,,,0
Udayapur,Sagarmatha,Hill,Eastern,13,750852254,118652720,869504974,16719727,7776685,24496412,,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,14,549719538,64445406,614164945,39436241,2968081,42404322,,,0
Saptari,Sagarmatha,Terai,Eastern,15,915245078,166178153,1081423231,35971426,18115856,54087282,,,0
Siraha,Sagarmatha,Terai,Eastern,16,793495876,126425838,919921713,30449874,8804429,39254303,,,0
Dhanusa,Janakpur,Terai,Central,17,988260735,176247721,1164508456,240514630,25664467,266179097,,,0
Mahottari,Janakpur,Terai,Central,18,756128462,212582857,968711319,37741802,22516389,60258191,,,0
Sarlahi,Janakpur,Terai,Central,19,869343990,118258401,987602391,45232037,11170097,56402133,,,0
Sindhuli,Janakpur,Hill,Central,20,690561677,128490104,819051781,21306116,2075215,23381331,,,0
Ramechhap,Janakpur,Hill,Central,21,628122857,81291609,709414466,11475627,4157619,15633247,,,0
Dolakha,Janakpur,Mountain,Central,22,566523948,53971421,620495369,34333978,7669299,42003277,,,0
Sindhupalchok,Bagmati,Mountain,Central,23,765139512,89466982,854606494,3032941,1691751,4724692,,,0
Rasuwa,Bagmati,Mountain,Central,24,284666320,49455476,334121796,6585353,2943712,9529065,,,0
Dhading,Bagmati,Hill,Central,25,770233083,77174682,847407765,5389599,4549818,9939417,,,0
Nuwakot,Bagmati,Hill,Central,26,710095805,77863782,787959587,27917524,3994398,31911922,,,0
