Donor Type,Donor Agency or Country,Donor Agency or Country Name,Grant Total,Grant Cash,Grant Direct,Grant Reimburse,Kind,Loan Total,Loan Cash,Loan Direct,Loan Reimburse
Multilateral,Asian Development Bank,ADB - General,7975260,500000,1913299,5561961,,8767341,898210,3202245,4666886
Multilateral,Asian Development Bank,JFPR,111850,71050,,40800,,,,,
Multilateral,The World Bank,IDA - General,11358165,294933,1799037,9256195,8000,9124243,,6442688,2681555
Multilateral,The World Bank,WB - Trust Fund,790750,70750,,720000,,,,,
Multilateral,OPEC Fund for International Development,OFID,,,,,,1396632,,11500,1385132
Multilateral,SAARC Development Fund,SAARC Fund,75000,,,75000,,,,,
Multilateral,United Nations,UNDP,389390,,389390,,,,,,
Multilateral,United Nations,UNCDF,37500,37500,,,,,,,
Multilateral,United Nations,UNESCO,3500,3500,,,,,,,
Multilateral,United Nations,UNFPA,25010,25010,,,,,,,
Multilateral,United Nations,UNICEF,853263,249765,430457,,173041,,,,
Multilateral,United Nations,UNHABITAT,10150,10150,,,,,,,
Multilateral,United Nations,WHO,277220,,277220,,,,,,
Multilateral,United Nations,WFP,950889,,2600,102434,845855,,,,
Multilateral,International Fund for Agricultural Development,IFAD,278711,,28748,249963,,573595,,28747,544848
Bilateral,China,China - General,390000,,390000,,,2500000,,2500000,
Bilateral,Denmark,Denmark- General,412715,14250,398465,,,,,,
Bilateral,Denmark,Denmark - NPTF,90000,90000,,,,,,,
Bilateral,Finland,Finland - General,591128,,549788,41340,,,,,
Bilateral,Finland,Finland - NPTF,70000,70000,,,,,,,
Bilateral,Germany,Germany - General,200000,200000,,,,,,,
Bilateral,Germany,Germany - KFW,1544760,,1544760,,,,,,
Bilateral,India,India - General,7769976,758770,7011206,,,3889250,3889250,,
Bilateral,Japan,Japan - JICA,2090445,,1520445,120000,450000,650000,650000,,
Bilateral,Japan,Japan – DRF,1530000,1530000,,,,,,,
Bilateral,Japan,Japan – KR1,290000,290000,,,,,,,
Bilateral,Japan,Japan -KR2,11500,11500,,,,,,,
Bilateral,Japan,Japan NPG,220000,190000,,,30000,,,,
Bilateral,Korea,Korea - Exim Bank,,,,,,1200000,1200000,,
Bilateral,Netherlands,Netherlands - SNV,3259,,3259,,,,,,
Bilateral,Netherlands,NSL,1320,,1320,,,,,,
Bilateral,Norway,Norway - General,489031,61997,427034,,,,,,
Bilateral,Norway,Norad,,,,,,120000,120000,,
Bilateral,Norway,Norway - NPTF,250000,250000,,,,,,,
Bilateral,Switzerland,Switzerland - General,210674,210674,,,,,,,
Bilateral,Switzerland,Switzerland - SDC,418600,1050,403670,,13880,,,,
Bilateral,Switzerland,Switzerland - HELVETAS,204931,108675,96256,,,,,,
Bilateral,Switzerland,Switzerland - NTPF,80000,80000,,,,,,,
Bilateral,Saudi  Development Fund,Saudi Fund,,,,,,,,177906,
Bilateral,United Kingdom,UK - General,2014761,214800,827025,972936,,,,,
Bilateral,United Kingdom,UK - NPTF,450000,450000,,,,,,,
Bilateral,United Kingdom,UK - DRF,200000,200000,,,,,,,
Bilateral,United  States of America,USAID - General,605382,,61985,222757,320640,,,,
Bilateral,United  States of America,Concern USA,144666,,144666,,,,,,
Bilateral,United  States of America,HRI-USA,294,,294,,,,,,
Bilateral,SSRP,SSRP Donor,12307454,,,12307454,,,,,
Bilateral,European Union,EU - General,20000,,20000,,,,,,
Bilateral,European Union,EU - NPTF,1100000,1100000,,,,,,,
Others,GEFTAM,GEFMAT- General,1474398,166267,1283131,,25000,,,,
Others,Global Alliance Against Vaccination and Immunization,Gavi - General,348490,140806,,,207684,,,,
Others,Save the Children,Save the Children,25900,,25900,,,,,,
Others,CEC,CEC,12194,,12194,,,,,,
Others,Donor - Pool Fund-Health,Donor - Pool Fund-Health,11424258,5531345,,5892913,,1255125,,,
