Government income,Unnamed: 1,Year AD,Year BS,Value (In Rs 10 million)
Tax Revenue,"Tax on Income, Profit and capital gains",2010/11,2067/68,4135.0
Tax Revenue,Tax based on remuneration,2010/11,2067/68,71.0
Tax Revenue,Property Tax,2010/11,2067/68,357.2
Tax Revenue,Tax based on Goods and services,2010/11,2067/68,9479.3
Tax Revenue,Tax based on Foreign trade,2010/11,2067/68,3571.4
Tax Revenue,Other Taxes,2010/11,2067/68,108.8
Non-Tax Revenue,Income from Assets,2010/11,2067/68,1296.4
Non-Tax Revenue,Income from the sales of goods and services,2010/11,2067/68,244.8
Non-Tax Revenue,"Penalties, Fines and confiscations",2010/11,2067/68,13.4
Non-Tax Revenue,Voluntary Handover except grants,2010/11,2067/68,0.2
Non-Tax Revenue,Miscellaneous Revenue,2010/11,2067/68,560.1
Foreign Grants,-,2010/11,2067/68,4592.22
Principle Repayment of Loan,-,2010/11,2067/68,144.27
Tax Revenue,"Tax on Income, Profit and capital gains",2011/12,2068/69,5130.3
Tax Revenue,Tax based on remuneration,2011/12,2068/69,155.5
Tax Revenue,Property Tax,2011/12,2068/69,358.8
Tax Revenue,Tax based on Goods and services,2011/12,2068/69,11056.1
Tax Revenue,Tax based on Foreign trade,2011/12,2068/69,4339.1
Tax Revenue,Other Taxes,2011/12,2068/69,132.4
Non-Tax Revenue,Income from Assets,2011/12,2068/69,1765.3
Non-Tax Revenue,Income from the sales of goods and services,2011/12,2068/69,691.3
Non-Tax Revenue,"Penalties, Fines and confiscations",2011/12,2068/69,31.6
Non-Tax Revenue,Voluntary Handover except grants,2011/12,2068/69,0.1
Non-Tax Revenue,Miscellaneous Revenue,2011/12,2068/69,776.9
Foreign Grants,-,2011/12,2068/69,4081.03
Principle Repayment of Loan,-,2011/12,2068/69,18.7
Tax Revenue,"Tax on Income, Profit and capital gains",2012/13,2069/70,6168.1
Tax Revenue,Tax based on remuneration,2012/13,2069/70,178.6
Tax Revenue,Property Tax,2012/13,2069/70,421.2
Tax Revenue,Tax based on Goods and services,2012/13,2069/70,13525.1
Tax Revenue,Tax based on Foreign trade,2012/13,2069/70,4744.5
Tax Revenue,Other Taxes,2012/13,2069/70,219.8
Non-Tax Revenue,Income from Assets,2012/13,2069/70,2096.5
Non-Tax Revenue,Income from the sales of goods and services,2012/13,2069/70,746.8
Non-Tax Revenue,"Penalties, Fines and confiscations",2012/13,2069/70,34.4
Non-Tax Revenue,Voluntary Handover except grants,2012/13,2069/70,0.1
Non-Tax Revenue,Miscellaneous Revenue,2012/13,2069/70,825.3
Foreign Grants,-,2012/13,2069/70,4698.92
Principle Repayment of Loan,-,2012/13,2069/70,439.5
