industrial_classification,year AD,year BS,value
Agriculture and forestry,2000/01,2057/58,209049
Agriculture and forestry,2005/06,2062/63,278056
Agriculture and forestry,2006/07,2063/64,299385
Agriculture and forestry,2007/08,2064/65,329401
Agriculture and forestry,2008/09,2065/66,409987
Agriculture and forestry,2009/10,2066/67,514871
Agriculture and forestry,2010/11,2067/68,614472
Agriculture and forestry,2011/12,2068/69,670387
Fishing,2000/01,2057/58,2321
Fishing,2005/06,2062/63,3614
Fishing,2006/07,2063/64,3790
Fishing,2007/08,2064/65,4373
Fishing,2008/09,2065/66,4583
Fishing,2009/10,2066/67,4746
Fishing,2010/11,2067/68,5035
Fishing,2011/12,2068/69,5520
Mining and quarrying,2000/01,2057/58,2283
Mining and quarrying,2005/06,2062/63,3943
Mining and quarrying,2006/07,2063/64,4296
Mining and quarrying,2007/08,2064/65,5508
Mining and quarrying,2008/09,2065/66,6397
Mining and quarrying,2009/10,2066/67,7461
Mining and quarrying,2010/11,2067/68,8751
Mining and quarrying,2011/12,2068/69,10264
Manufacturing,2000/01,2057/58,139372
Manufacturing,2005/06,2062/63,170875
Manufacturing,2006/07,2063/64,186496
Manufacturing,2007/08,2064/65,204107
Manufacturing,2008/09,2065/66,233408
Manufacturing,2009/10,2066/67,252869
Manufacturing,2010/11,2067/68,284007
Manufacturing,2011/12,2068/69,325193
Electricty gas and water,2000/01,2057/58,12713
Electricty gas and water,2005/06,2062/63,22637
Electricty gas and water,2006/07,2063/64,25106
Electricty gas and water,2007/08,2064/65,26418
Electricty gas and water,2008/09,2065/66,26273
Electricty gas and water,2009/10,2066/67,29478
Electricty gas and water,2010/11,2067/68,31106
Electricty gas and water,2011/12,2068/69,34549
Construction,2000/01,2057/58,51124
Construction,2005/06,2062/63,83147
Construction,2006/07,2063/64,91746
Construction,2007/08,2064/65,111639
Construction,2008/09,2065/66,131278
Construction,2009/10,2066/67,158728
Construction,2010/11,2067/68,182614
Construction,2011/12,2068/69,199931
Wholesale and retail trade,2000/01,2057/58,83207
Wholesale and retail trade,2005/06,2062/63,107365
Wholesale and retail trade,2006/07,2063/64,110325
Wholesale and retail trade,2007/08,2064/65,125402
Wholesale and retail trade,2008/09,2065/66,148759
Wholesale and retail trade,2009/10,2066/67,193036
Wholesale and retail trade,2010/11,2067/68,218731
Wholesale and retail trade,2011/12,2068/69,250630
Hotels and restaurants,2000/01,2057/58,25486
Hotels and restaurants,2005/06,2062/63,29477
Hotels and restaurants,2006/07,2063/64,32422
Hotels and restaurants,2007/08,2064/65,37536
Hotels and restaurants,2008/09,2065/66,45311
Hotels and restaurants,2009/10,2066/67,56041
Hotels and restaurants,2010/11,2067/68,71193
Hotels and restaurants,2011/12,2068/69,85758
"Transport, storage and communications",2000/01,2057/58,57133
"Transport, storage and communications",2005/06,2062/63,107348
"Transport, storage and communications",2006/07,2063/64,121799
"Transport, storage and communications",2007/08,2064/65,133125
"Transport, storage and communications",2008/09,2065/66,159245
"Transport, storage and communications",2009/10,2066/67,164024
"Transport, storage and communications",2010/11,2067/68,179451
"Transport, storage and communications",2011/12,2068/69,213746
Financial intermediation,2000/01,2057/58,15162
Financial intermediation,2005/06,2062/63,27939
Financial intermediation,2006/07,2063/64,36897
Financial intermediation,2007/08,2064/65,43907
Financial intermediation,2008/09,2065/66,51110
Financial intermediation,2009/10,2066/67,59995
Financial intermediation,2010/11,2067/68,71395
Financial intermediation,2011/12,2068/69,86688
"Real estate, renting and business activities",2000/01,2057/58,47523
"Real estate, renting and business activities",2005/06,2062/63,85698
"Real estate, renting and business activities",2006/07,2063/64,100575
"Real estate, renting and business activities",2007/08,2064/65,107887
"Real estate, renting and business activities",2008/09,2065/66,121293
"Real estate, renting and business activities",2009/10,2066/67,139581
"Real estate, renting and business activities",2010/11,2067/68,157203
"Real estate, renting and business activities",2011/12,2068/69,177278
Public administration and defence,2000/01,2057/58,6764
Public administration and defence,2005/06,2062/63,14288
Public administration and defence,2006/07,2063/64,16524
Public administration and defence,2007/08,2064/65,19224
Public administration and defence,2008/09,2065/66,24030
Public administration and defence,2009/10,2066/67,28879
Public administration and defence,2010/11,2067/68,33059
Public administration and defence,2011/12,2068/69,42535
Education,2000/01,2057/58,21911
Education,2005/06,2062/63,44979
Education,2006/07,2063/64,53328
Education,2007/08,2064/65,63263
Education,2008/09,2065/66,80889
Education,2009/10,2066/67,82495
Education,2010/11,2067/68,88944
Education,2011/12,2068/69,113860
Health and social work,2000/01,2057/58,5767
Health and social work,2005/06,2062/63,10930
Health and social work,2006/07,2063/64,12652
Health and social work,2007/08,2064/65,15357
Health and social work,2008/09,2065/66,19009
Health and social work,2009/10,2066/67,21863
Health and social work,2010/11,2067/68,24163
Health and social work,2011/12,2068/69,31311
"Other community, social and personal service activities",2000/01,2057/58,17812
"Other community, social and personal service activities",2005/06,2062/63,23680
"Other community, social and personal service activities",2006/07,2063/64,30959
"Other community, social and personal service activities",2007/08,2064/65,37453
"Other community, social and personal service activities",2008/09,2065/66,47278
"Other community, social and personal service activities",2009/10,2066/67,58629
"Other community, social and personal service activities",2010/11,2067/68,68851
"Other community, social and personal service activities",2011/12,2068/69,80926
