Year BS,Year AD,Type of trade,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
2060/61,2003/04,Export,53.95,,,,,,,,,,,,,,,,,,,
2060/61,2003/04,Import,135.84,,,,,,,,,,,,,,,,,,,
2061/62,2004/05,Export,58.44,,,,,,,,,,,,,,,,,,,
2061/62,2004/05,Import,148.29,,,,,,,,,,,,,,,,,,,
2062/63,2005/06,Export,59.78,,,,,,,,,,,,,,,,,,,
2062/63,2005/06,Import,160.68,,,,,,,,,,,,,,,,,,,
2063/64,2006/07,Export,58.93,,,,,,,,,,,,,,,,,,,
2063/64,2006/07,Import,195.81,,,,,,,,,,,,,,,,,,,
2064/65,2007/08,Export,58.47,,,,,,,,,,,,,,,,,,,
2064/65,2007/08,Import,237.03,,,,,,,,,,,,,,,,,,,
2065/66,2008/09,Export,68.6,,,,,,,,,,,,,,,,,,,
2065/67,2008/10,Import,291.0,,,,,,,,,,,,,,,,,,,
2066/67,2009/10,Export,60.95,,,,,,,,,,,,,,,,,,,
2066/67,2009/10,Import,375.61,,,,,,,,,,,,,,,,,,,
2067/68,2010/11,Export,64.56,,,,,,,,,,,,,,,,,,,
2067/68,2010/11,Import,397.54,,,,,,,,,,,,,,,,,,,
2068/69,2011/12,Export,74.09,,,,,,,,,,,,,,,,,,,
2068/69,2011/12,Import,498.16,,,,,,,,,,,,,,,,,,,
2069/70,2012/13,Export,77.35,,,,,,,,,,,,,,,,,,,
2069/70,2012/13,Import,601.21,,,,,,,,,,,,,,,,,,,
