District,Zone,Geographical Region,Development Region,Sub Group,Value
Achham,Seti,Hill,Far-Western,Economically Active Population,114446.9
Achham,Seti,Hill,Far-Western,GDP (Value Added) Rs. In Million,5513.8
Achham,Seti,Hill,Far-Western,Labour Productivity (in Rs.),48177.7
Arghakhanchi,Lumbini,Hill,Western,Economically Active Population,101715.0
Arghakhanchi,Lumbini,Hill,Western,GDP (Value Added) Rs. In Million,7198.2
Arghakhanchi,Lumbini,Hill,Western,Labour Productivity (in Rs.),70768.0
Baglung,Dhawalagiri,Hill,Western,Economically Active Population,110679.6
Baglung,Dhawalagiri,Hill,Western,GDP (Value Added) Rs. In Million,9397.1
Baglung,Dhawalagiri,Hill,Western,Labour Productivity (in Rs.),84903.3
Baitadi,Mahakali,Hill,Far-Western,Economically Active Population,105879.9
Baitadi,Mahakali,Hill,Far-Western,GDP (Value Added) Rs. In Million,5821.3
Baitadi,Mahakali,Hill,Far-Western,Labour Productivity (in Rs.),54979.9
Bajhang,Seti,Mountain,Far-Western,Economically Active Population,87487.2
Bajhang,Seti,Mountain,Far-Western,GDP (Value Added) Rs. In Million,3816.6
Bajhang,Seti,Mountain,Far-Western,Labour Productivity (in Rs.),43624.1
Bajura,Seti,Mountain,Far-Western,Economically Active Population,59300.7
Bajura,Seti,Mountain,Far-Western,GDP (Value Added) Rs. In Million,2851.5
Bajura,Seti,Mountain,Far-Western,Labour Productivity (in Rs.),48084.7
Banke,Bheri,Terai,Mid-Western,Economically Active Population,170010.9
Banke,Bheri,Terai,Mid-Western,GDP (Value Added) Rs. In Million,22619.6
Banke,Bheri,Terai,Mid-Western,Labour Productivity (in Rs.),133048.2
Bara,Narayani,Terai,Central,Economically Active Population,215822.1
Bara,Narayani,Terai,Central,GDP (Value Added) Rs. In Million,41527.0
Bara,Narayani,Terai,Central,Labour Productivity (in Rs.),192413.1
Bardiya,Bheri,Terai,Mid-Western,Economically Active Population,186231.2
Bardiya,Bheri,Terai,Mid-Western,GDP (Value Added) Rs. In Million,18787.4
Bardiya,Bheri,Terai,Mid-Western,Labour Productivity (in Rs.),100882.1
Bhaktapur,Bagmati,Hill,Central,Economically Active Population,129495.4
Bhaktapur,Bagmati,Hill,Central,GDP (Value Added) Rs. In Million,17142.0
Bhaktapur,Bagmati,Hill,Central,Labour Productivity (in Rs.),132375.4
Bhojpur,Kosi,Hill,Eastern,Economically Active Population,94178.8
Bhojpur,Kosi,Hill,Eastern,GDP (Value Added) Rs. In Million,7383.7
Bhojpur,Kosi,Hill,Eastern,Labour Productivity (in Rs.),78400.6
Chitawan,Narayani,Terai,Central,Economically Active Population,244209.7
Chitawan,Narayani,Terai,Central,GDP (Value Added) Rs. In Million,36270.9
Chitawan,Narayani,Terai,Central,Labour Productivity (in Rs.),148523.4
Dadeldhura,Mahakali,Hill,Far-Western,Economically Active Population,67848.7
Dadeldhura,Mahakali,Hill,Far-Western,GDP (Value Added) Rs. In Million,4392.4
Dadeldhura,Mahakali,Hill,Far-Western,Labour Productivity (in Rs.),64738.8
Dailekh,Bheri,Hill,Mid-Western,Economically Active Population,111223.4
Dailekh,Bheri,Hill,Mid-Western,GDP (Value Added) Rs. In Million,7266.7
Dailekh,Bheri,Hill,Mid-Western,Labour Productivity (in Rs.),65334.0
Dang,Rapti,Terai,Mid-Western,Economically Active Population,230846.6
Dang,Rapti,Terai,Mid-Western,GDP (Value Added) Rs. In Million,25240.2
Dang,Rapti,Terai,Mid-Western,Labour Productivity (in Rs.),109337.5
Darchaula,Mahakali,Mountain,Far-Western,Economically Active Population,59530.7
Darchaula,Mahakali,Mountain,Far-Western,GDP (Value Added) Rs. In Million,3397.2
Darchaula,Mahakali,Mountain,Far-Western,Labour Productivity (in Rs.),57067.1
Dhading,Bagmati,Hill,Central,Economically Active Population,166200.1
Dhading,Bagmati,Hill,Central,GDP (Value Added) Rs. In Million,13391.6
Dhading,Bagmati,Hill,Central,Labour Productivity (in Rs.),80575.2
Dhankuta,Kosi,Hill,Eastern,Economically Active Population,91035.6
Dhankuta,Kosi,Hill,Eastern,GDP (Value Added) Rs. In Million,8335.4
Dhankuta,Kosi,Hill,Eastern,Labour Productivity (in Rs.),91561.8
Dhanusa,Janakpur,Terai,Central,Economically Active Population,213443.4
Dhanusa,Janakpur,Terai,Central,GDP (Value Added) Rs. In Million,28727.1
Dhanusa,Janakpur,Terai,Central,Labour Productivity (in Rs.),134588.7
Dolakha,Janakpur,Mountain,Central,Economically Active Population,94343.0
Dolakha,Janakpur,Mountain,Central,GDP (Value Added) Rs. In Million,6991.9
Dolakha,Janakpur,Mountain,Central,Labour Productivity (in Rs.),74111.6
Dolpa,Karnali,Mountain,Mid-Western,Economically Active Population,17932.0
Dolpa,Karnali,Mountain,Mid-Western,GDP (Value Added) Rs. In Million,1558.5
Dolpa,Karnali,Mountain,Mid-Western,Labour Productivity (in Rs.),86910.1
Doti,Seti,Hill,Far-Western,Economically Active Population,92243.8
Doti,Seti,Hill,Far-Western,GDP (Value Added) Rs. In Million,6590.6
Doti,Seti,Hill,Far-Western,Labour Productivity (in Rs.),71447.5
Gorkha,Gandaki,Hill,Western,Economically Active Population,132186.2
Gorkha,Gandaki,Hill,Western,GDP (Value Added) Rs. In Million,11419.7
Gorkha,Gandaki,Hill,Western,Labour Productivity (in Rs.),86391.0
Gulmi,Lumbini,Hill,Western,Economically Active Population,130876.6
Gulmi,Lumbini,Hill,Western,GDP (Value Added) Rs. In Million,8418.2
Gulmi,Lumbini,Hill,Western,Labour Productivity (in Rs.),64322.0
Humla,Karnali,Mountain,Mid-Western,Economically Active Population,23934.6
Humla,Karnali,Mountain,Mid-Western,GDP (Value Added) Rs. In Million,1649.2
Humla,Karnali,Mountain,Mid-Western,Labour Productivity (in Rs.),68905.1
Ilam,Mechi,Hill,Eastern,Economically Active Population,141851.1
Ilam,Mechi,Hill,Eastern,GDP (Value Added) Rs. In Million,14852.2
Ilam,Mechi,Hill,Eastern,Labour Productivity (in Rs.),104702.7
Jajarkot,Bheri,Hill,Mid-Western,Economically Active Population,63063.6
Jajarkot,Bheri,Hill,Mid-Western,GDP (Value Added) Rs. In Million,4255.4
Jajarkot,Bheri,Hill,Mid-Western,Labour Productivity (in Rs.),67477.8
Jhapa,Mechi,Terai,Eastern,Economically Active Population,329345.2
Jhapa,Mechi,Terai,Eastern,GDP (Value Added) Rs. In Million,40370.2
Jhapa,Mechi,Terai,Eastern,Labour Productivity (in Rs.),122577.2
Jumla,Karnali,Mountain,Mid-Western,Economically Active Population,49969.4
Jumla,Karnali,Mountain,Mid-Western,GDP (Value Added) Rs. In Million,4474.9
Jumla,Karnali,Mountain,Mid-Western,Labour Productivity (in Rs.),89552.7
Kailali,Seti,Terai,Far-Western,Economically Active Population,300447.2
Kailali,Seti,Terai,Far-Western,GDP (Value Added) Rs. In Million,29569.9
Kailali,Seti,Terai,Far-Western,Labour Productivity (in Rs.),98419.8
Kalikot,Karnali,Mountain,Mid-Western,Economically Active Population,57077.5
Kalikot,Karnali,Mountain,Mid-Western,GDP (Value Added) Rs. In Million,3227.9
Kalikot,Karnali,Mountain,Mid-Western,Labour Productivity (in Rs.),56552.9
Kanchanpur,Mahakali,Terai,Far-Western,Economically Active Population,171333.6
Kanchanpur,Mahakali,Terai,Far-Western,GDP (Value Added) Rs. In Million,17140.6
Kanchanpur,Mahakali,Terai,Far-Western,Labour Productivity (in Rs.),100042.4
Kapilbastu,Lumbini,Terai,Western,Economically Active Population,207804.3
Kapilbastu,Lumbini,Terai,Western,GDP (Value Added) Rs. In Million,23002.8
Kapilbastu,Lumbini,Terai,Western,Labour Productivity (in Rs.),110694.4
Kaski,Gandaki,Hill,Western,Economically Active Population,172638.7
