District,Zone,Geographical Region,Development Region,Year AD,Year BS,Number of people
Taplejung,Mechi,Mountain,Eastern,2011,2068,207
Taplejung,Mechi,Mountain,Eastern,2012,2069,3610
Taplejung,Mechi,Mountain,Eastern,2013,2070,3928
Taplejung,Mechi,Mountain,Eastern,2011,2068,15
Taplejung,Mechi,Mountain,Eastern,2012,2069,273
Taplejung,Mechi,Mountain,Eastern,2013,2070,299
Panchthar,Mechi,Hill,Eastern,2011,2068,4573
Panchthar,Mechi,Hill,Eastern,2012,2069,5556
Panchthar,Mechi,Hill,Eastern,2013,2070,6094
Panchthar,Mechi,Hill,Eastern,2011,2068,226
Panchthar,Mechi,Hill,Eastern,2012,2069,505
Panchthar,Mechi,Hill,Eastern,2013,2070,542
Ilam,Mechi,Hill,Eastern,2011,2068,9485
Ilam,Mechi,Hill,Eastern,2012,2069,5684
Ilam,Mechi,Hill,Eastern,2013,2070,6473
Ilam,Mechi,Hill,Eastern,2011,2068,867
Ilam,Mechi,Hill,Eastern,2012,2069,725
Ilam,Mechi,Hill,Eastern,2013,2070,701
Jhapa,Mechi,Terai,Eastern,2011,2068,504
Jhapa,Mechi,Terai,Eastern,2012,2069,24300
Jhapa,Mechi,Terai,Eastern,2013,2070,25479
Jhapa,Mechi,Terai,Eastern,2011,2068,29
Jhapa,Mechi,Terai,Eastern,2012,2069,3824
Jhapa,Mechi,Terai,Eastern,2013,2070,3462
Morang,Kosi,Terai,Eastern,2011,2068,20
Morang,Kosi,Terai,Eastern,2012,2069,21613
Morang,Kosi,Terai,Eastern,2013,2070,23239
Morang,Kosi,Terai,Eastern,2011,2068,3
Morang,Kosi,Terai,Eastern,2012,2069,3430
Morang,Kosi,Terai,Eastern,2013,2070,2891
Sunsari,Kosi,Terai,Eastern,2011,2068,24
Sunsari,Kosi,Terai,Eastern,2012,2069,16864
Sunsari,Kosi,Terai,Eastern,2013,2070,18250
Sunsari,Kosi,Terai,Eastern,2011,2068,2
Sunsari,Kosi,Terai,Eastern,2012,2069,3129
Sunsari,Kosi,Terai,Eastern,2013,2070,3060
Dhankuta,Kosi,Hill,Eastern,2011,2068,3352
Dhankuta,Kosi,Hill,Eastern,2012,2069,5071
Dhankuta,Kosi,Hill,Eastern,2013,2070,4971
Dhankuta,Kosi,Hill,Eastern,2011,2068,484
Dhankuta,Kosi,Hill,Eastern,2012,2069,323
Dhankuta,Kosi,Hill,Eastern,2013,2070,335
Terhathum,Kosi,Hill,Eastern,2011,2068,4012
Terhathum,Kosi,Hill,Eastern,2012,2069,3201
Terhathum,Kosi,Hill,Eastern,2013,2070,3815
Terhathum,Kosi,Hill,Eastern,2011,2068,230
Terhathum,Kosi,Hill,Eastern,2012,2069,183
Terhathum,Kosi,Hill,Eastern,2013,2070,178
Sankhuwasabha,Kosi,Mountain,Eastern,2011,2068,3032
Sankhuwasabha,Kosi,Mountain,Eastern,2012,2069,4230
Sankhuwasabha,Kosi,Mountain,Eastern,2013,2070,5005
Sankhuwasabha,Kosi,Mountain,Eastern,2011,2068,425
Sankhuwasabha,Kosi,Mountain,Eastern,2012,2069,291
Sankhuwasabha,Kosi,Mountain,Eastern,2013,2070,320
Bhojpur,Kosi,Hill,Eastern,2011,2068,4973
Bhojpur,Kosi,Hill,Eastern,2012,2069,4969
Bhojpur,Kosi,Hill,Eastern,2013,2070,5758
Bhojpur,Kosi,Hill,Eastern,2011,2068,1285
Bhojpur,Kosi,Hill,Eastern,2012,2069,379
Bhojpur,Kosi,Hill,Eastern,2013,2070,404
Solukhumbu,Sagarmatha,Mountain,Eastern,2011,2068,5186
Solukhumbu,Sagarmatha,Mountain,Eastern,2012,2069,1955
Solukhumbu,Sagarmatha,Mountain,Eastern,2013,2070,2175
Solukhumbu,Sagarmatha,Mountain,Eastern,2011,2068,396
Solukhumbu,Sagarmatha,Mountain,Eastern,2012,2069,376
Solukhumbu,Sagarmatha,Mountain,Eastern,2013,2070,308
Okhaldhunga,Sagarmatha,Hill,Eastern,2011,2068,15961
Okhaldhunga,Sagarmatha,Hill,Eastern,2012,2069,2909
Okhaldhunga,Sagarmatha,Hill,Eastern,2013,2070,2908
Okhaldhunga,Sagarmatha,Hill,Eastern,2011,2068,2686
Okhaldhunga,Sagarmatha,Hill,Eastern,2012,2069,264
Okhaldhunga,Sagarmatha,Hill,Eastern,2013,2070,200
Khotang,Sagarmatha,Hill,Eastern,2011,2068,166
Khotang,Sagarmatha,Hill,Eastern,2012,2069,6229
Khotang,Sagarmatha,Hill,Eastern,2013,2070,6755
Khotang,Sagarmatha,Hill,Eastern,2011,2068,5
Khotang,Sagarmatha,Hill,Eastern,2012,2069,425
Khotang,Sagarmatha,Hill,Eastern,2013,2070,324
Udayapur,Sagarmatha,Hill,Eastern,2011,2068,6899
Udayapur,Sagarmatha,Hill,Eastern,2012,2069,5627
Udayapur,Sagarmatha,Hill,Eastern,2013,2070,6027
Udayapur,Sagarmatha,Hill,Eastern,2011,2068,543
Udayapur,Sagarmatha,Hill,Eastern,2012,2069,594
Udayapur,Sagarmatha,Hill,Eastern,2013,2070,517
Saptari,Sagarmatha,Terai,Eastern,2011,2068,420
Saptari,Sagarmatha,Terai,Eastern,2012,2069,7658
Saptari,Sagarmatha,Terai,Eastern,2013,2070,10498
Saptari,Sagarmatha,Terai,Eastern,2011,2068,11
Saptari,Sagarmatha,Terai,Eastern,2012,2069,264
Saptari,Sagarmatha,Terai,Eastern,2013,2070,283
Siraha,Sagarmatha,Terai,Eastern,2011,2068,6497
Siraha,Sagarmatha,Terai,Eastern,2012,2069,18717
Siraha,Sagarmatha,Terai,Eastern,2013,2070,23909
Siraha,Sagarmatha,Terai,Eastern,2011,2068,656
Siraha,Sagarmatha,Terai,Eastern,2012,2069,365
Siraha,Sagarmatha,Terai,Eastern,2013,2070,353
Dhanusa,Janakpur,Terai,Central,2011,2068,5204
Dhanusa,Janakpur,Terai,Central,2012,2069,23468
Dhanusa,Janakpur,Terai,Central,2013,2070,29670
Dhanusa,Janakpur,Terai,Central,2011,2068,352
Dhanusa,Janakpur,Terai,Central,2012,2069,638
Dhanusa,Janakpur,Terai,Central,2013,2070,634
Mahottari,Janakpur,Terai,Central,2011,2068,21762
Mahottari,Janakpur,Terai,Central,2012,2069,12036
Mahottari,Janakpur,Terai,Central,2013,2070,15672
Mahottari,Janakpur,Terai,Central,2011,2068,521
Mahottari,Janakpur,Terai,Central,2012,2069,348
Mahottari,Janakpur,Terai,Central,2013,2070,282
Sarlahi,Janakpur,Terai,Central,2011,2068,372
Sarlahi,Janakpur,Terai,Central,2012,2069,6772
Sarlahi,Janakpur,Terai,Central,2013,2070,8458
Sarlahi,Janakpur,Terai,Central,2011,2068,27
Sarlahi,Janakpur,Terai,Central,2012,2069,472
Sarlahi,Janakpur,Terai,Central,2013,2070,408
Sindhuli,Janakpur,Hill,Central,2011,2068,3291
Sindhuli,Janakpur,Hill,Central,2012,2069,4216
Sindhuli,Janakpur,Hill,Central,2013,2070,5582
Sindhuli,Janakpur,Hill,Central,2011,2068,556
Sindhuli,Janakpur,Hill,Central,2012,2069,431
Sindhuli,Janakpur,Hill,Central,2013,2070,669
Ramechhap,Janakpur,Hill,Central,2011,2068,8
Ramechhap,Janakpur,Hill,Central,2012,2069,3549
Ramechhap,Janakpur,Hill,Central,2013,2070,3588
Ramechhap,Janakpur,Hill,Central,2011,2068,3
Ramechhap,Janakpur,Hill,Central,2012,2069,496
Ramechhap,Janakpur,Hill,Central,2013,2070,384
Dolakha,Janakpur,Mountain,Central,2011,2068,179
Dolakha,Janakpur,Mountain,Central,2012,2069,2952
Dolakha,Janakpur,Mountain,Central,2013,2070,3266
Dolakha,Janakpur,Mountain,Central,2011,2068,16
Dolakha,Janakpur,Mountain,Central,2012,2069,473
Dolakha,Janakpur,Mountain,Central,2013,2070,431
Sindhupalchok,Bagmati,Mountain,Central,2011,2068,8630
Sindhupalchok,Bagmati,Mountain,Central,2012,2069,5445
Sindhupalchok,Bagmati,Mountain,Central,2013,2070,6214
Sindhupalchok,Bagmati,Mountain,Central,2011,2068,911
Sindhupalchok,Bagmati,Mountain,Central,2012,2069,2246
Sindhupalchok,Bagmati,Mountain,Central,2013,2070,2026
Kavre,Bagmati,Hill,Central,2011,2068,8170
Kavre,Bagmati,Hill,Central,2012,2069,6800
Kavre,Bagmati,Hill,Central,2013,2070,7036
Kavre,Bagmati,Hill,Central,2011,2068,659
Kavre,Bagmati,Hill,Central,2012,2069,1235
Kavre,Bagmati,Hill,Central,2013,2070,1183
Lalitpur,Bagmati,Hill,Central,2011,2068,139
Lalitpur,Bagmati,Hill,Central,2012,2069,16737
Lalitpur,Bagmati,Hill,Central,2013,2070,16214
Lalitpur,Bagmati,Hill,Central,2011,2068,15
Lalitpur,Bagmati,Hill,Central,2012,2069,7614
Lalitpur,Bagmati,Hill,Central,2013,2070,7095
Kathmandu,Bagmati,Hill,Central,2011,2068,5804
Kathmandu,Bagmati,Hill,Central,2012,2069,101889
Kathmandu,Bagmati,Hill,Central,2013,2070,100763
Kathmandu,Bagmati,Hill,Central,2011,2068,719
Kathmandu,Bagmati,Hill,Central,2012,2069,43752
Kathmandu,Bagmati,Hill,Central,2013,2070,39761
Bhaktapur,Bagmati,Hill,Central,2011,2068,208
Bhaktapur,Bagmati,Hill,Central,2012,2069,5295
Bhaktapur,Bagmati,Hill,Central,2013,2070,5203
Bhaktapur,Bagmati,Hill,Central,2011,2068,8
Bhaktapur,Bagmati,Hill,Central,2012,2069,1464
Bhaktapur,Bagmati,Hill,Central,2013,2070,1499
Nuwakot,Bagmati,Hill,Central,2011,2068,24052
Nuwakot,Bagmati,Hill,Central,2012,2069,6066
Nuwakot,Bagmati,Hill,Central,2013,2070,6501
Nuwakot,Bagmati,Hill,Central,2011,2068,3599
Nuwakot,Bagmati,Hill,Central,2012,2069,942
Nuwakot,Bagmati,Hill,Central,2013,2070,862
Rasuwa,Bagmati,Mountain,Central,2011,2068,36
Rasuwa,Bagmati,Mountain,Central,2012,2069,1300
Rasuwa,Bagmati,Mountain,Central,2013,2070,1200
Rasuwa,Bagmati,Mountain,Central,2011,2068,6
Rasuwa,Bagmati,Mountain,Central,2012,2069,324
Rasuwa,Bagmati,Mountain,Central,2013,2070,297
Dhading,Bagmati,Hill,Central,2011,2068,1592
Dhading,Bagmati,Hill,Central,2012,2069,6755
Dhading,Bagmati,Hill,Central,2013,2070,7223
Dhading,Bagmati,Hill,Central,2011,2068,197
Dhading,Bagmati,Hill,Central,2012,2069,749
Dhading,Bagmati,Hill,Central,2013,2070,750
Makwanpur,Narayani,Hill,Central,2011,2068,105
Makwanpur,Narayani,Hill,Central,2012,2069,6364
Makwanpur,Narayani,Hill,Central,2013,2070,6233
Makwanpur,Narayani,Hill,Central,2011,2068,4
Makwanpur,Narayani,Hill,Central,2012,2069,1015
Makwanpur,Narayani,Hill,Central,2013,2070,873
Rautahat,Narayani,Terai,Central,2011,2068,1520
Rautahat,Narayani,Terai,Central,2012,2069,3136
Rautahat,Narayani,Terai,Central,2013,2070,3790
Rautahat,Narayani,Terai,Central,2011,2068,100
Rautahat,Narayani,Terai,Central,2012,2069,201
Rautahat,Narayani,Terai,Central,2013,2070,160
Bara,Narayani,Terai,Central,2011,2068,7498
Bara,Narayani,Terai,Central,2012,2069,3864
Bara,Narayani,Terai,Central,2013,2070,4477
Bara,Narayani,Terai,Central,2011,2068,448
Bara,Narayani,Terai,Central,2012,2069,268
Bara,Narayani,Terai,Central,2013,2070,211
Parsa,Narayani,Terai,Central,2011,2068,20398
Parsa,Narayani,Terai,Central,2012,2069,3718
Parsa,Narayani,Terai,Central,2013,2070,4462
Parsa,Narayani,Terai,Central,2011,2068,4142
Parsa,Narayani,Terai,Central,2012,2069,516
Parsa,Narayani,Terai,Central,2013,2070,473
Chitawan,Narayani,Terai,Central,2011,2068,83418
Chitawan,Narayani,Terai,Central,2012,2069,16844
Chitawan,Narayani,Terai,Central,2013,2070,16412
Chitawan,Narayani,Terai,Central,2011,2068,34916
Chitawan,Narayani,Terai,Central,2012,2069,3038
Chitawan,Narayani,Terai,Central,2013,2070,2717
Gorkha,Gandaki,Hill,Western,2011,2068,6327
Gorkha,Gandaki,Hill,Western,2012,2069,9172
Gorkha,Gandaki,Hill,Western,2013,2070,9403
Gorkha,Gandaki,Hill,Western,2011,2068,1086
Gorkha,Gandaki,Hill,Western,2012,2069,1058
Gorkha,Gandaki,Hill,Western,2013,2070,948
Lamjung,Gandaki,Hill,Western,2011,2068,6377
Lamjung,Gandaki,Hill,Western,2012,2069,7805
Lamjung,Gandaki,Hill,Western,2013,2070,7534
Lamjung,Gandaki,Hill,Western,2011,2068,372
Lamjung,Gandaki,Hill,Western,2012,2069,694
Lamjung,Gandaki,Hill,Western,2013,2070,577
Tanahu,Gandaki,Hill,Western,2011,2068,15538
Tanahu,Gandaki,Hill,Western,2012,2069,13752
Tanahu,Gandaki,Hill,Western,2013,2070,14169
Tanahu,Gandaki,Hill,Western,2011,2068,6787
Tanahu,Gandaki,Hill,Western,2012,2069,906
Tanahu,Gandaki,Hill,Western,2013,2070,791
Syangja,Gandaki,Hill,Western,2011,2068,6851
Syangja,Gandaki,Hill,Western,2012,2069,14869
Syangja,Gandaki,Hill,Western,2013,2070,14952
Syangja,Gandaki,Hill,Western,2011,2068,549
Syangja,Gandaki,Hill,Western,2012,2069,1051
Syangja,Gandaki,Hill,Western,2013,2070,1067
Kaski,Gandaki,Hill,Western,2011,2068,10997
Kaski,Gandaki,Hill,Western,2012,2069,20319
Kaski,Gandaki,Hill,Western,2013,2070,20741
Kaski,Gandaki,Hill,Western,2011,2068,277
Kaski,Gandaki,Hill,Western,2012,2069,4789
Kaski,Gandaki,Hill,Western,2013,2070,4321
Manang,Gandaki,Mountain,Western,2011,2068,5782
Manang,Gandaki,Mountain,Western,2012,2069,351
Manang,Gandaki,Mountain,Western,2013,2070,195
Manang,Gandaki,Mountain,Western,2011,2068,871
Manang,Gandaki,Mountain,Western,2012,2069,51
Manang,Gandaki,Mountain,Western,2013,2070,26
Mustang,Dhawalagiri,Mountain,Western,2011,2068,227
Mustang,Dhawalagiri,Mountain,Western,2012,2069,456
Mustang,Dhawalagiri,Mountain,Western,2013,2070,460
Mustang,Dhawalagiri,Mountain,Western,2011,2068,49
Mustang,Dhawalagiri,Mountain,Western,2012,2069,113
Mustang,Dhawalagiri,Mountain,Western,2013,2070,121
Myagdi,Dhawalagiri,Hill,Western,2011,2068,20957
Myagdi,Dhawalagiri,Hill,Western,2012,2069,5609
Myagdi,Dhawalagiri,Hill,Western,2013,2070,5826
Myagdi,Dhawalagiri,Hill,Western,2011,2068,3025
Myagdi,Dhawalagiri,Hill,Western,2012,2069,478
Myagdi,Dhawalagiri,Hill,Western,2013,2070,414
Parbat,Dhawalagiri,Hill,Western,2011,2068,63
Parbat,Dhawalagiri,Hill,Western,2012,2069,6371
Parbat,Dhawalagiri,Hill,Western,2013,2070,6363
Parbat,Dhawalagiri,Hill,Western,2011,2068,10
Parbat,Dhawalagiri,Hill,Western,2012,2069,509
Parbat,Dhawalagiri,Hill,Western,2013,2070,437
Baglung,Dhawalagiri,Hill,Western,2011,2068,469
Baglung,Dhawalagiri,Hill,Western,2012,2069,9979
Baglung,Dhawalagiri,Hill,Western,2013,2070,10213
Baglung,Dhawalagiri,Hill,Western,2011,2068,95
Baglung,Dhawalagiri,Hill,Western,2012,2069,960
Baglung,Dhawalagiri,Hill,Western,2013,2070,1072
Gulmi,Lumbini,Hill,Western,2011,2068,5320
Gulmi,Lumbini,Hill,Western,2012,2069,9131
Gulmi,Lumbini,Hill,Western,2013,2070,8948
Gulmi,Lumbini,Hill,Western,2011,2068,400
Gulmi,Lumbini,Hill,Western,2012,2069,783
Gulmi,Lumbini,Hill,Western,2013,2070,772
Palpa,Lumbini,Hill,Western,2011,2068,14399
Palpa,Lumbini,Hill,Western,2012,2069,7941
Palpa,Lumbini,Hill,Western,2013,2070,8065
Palpa,Lumbini,Hill,Western,2011,2068,1525
Palpa,Lumbini,Hill,Western,2012,2069,610
Palpa,Lumbini,Hill,Western,2013,2070,592
Nawalparasi,Lumbini,Terai,Western,2011,2068,5375
Nawalparasi,Lumbini,Terai,Western,2012,2069,14730
Nawalparasi,Lumbini,Terai,Western,2013,2070,16218
Nawalparasi,Lumbini,Terai,Western,2011,2068,825
Nawalparasi,Lumbini,Terai,Western,2012,2069,1720
Nawalparasi,Lumbini,Terai,Western,2013,2070,1489
Rupandehi,Lumbini,Terai,Western,2011,2068,2834
Rupandehi,Lumbini,Terai,Western,2012,2069,16330
Rupandehi,Lumbini,Terai,Western,2013,2070,17401
Rupandehi,Lumbini,Terai,Western,2011,2068,241
Rupandehi,Lumbini,Terai,Western,2012,2069,2426
Rupandehi,Lumbini,Terai,Western,2013,2070,2115
Kapilbastu,Lumbini,Terai,Western,2011,2068,7299
Kapilbastu,Lumbini,Terai,Western,2012,2069,7230
Kapilbastu,Lumbini,Terai,Western,2013,2070,8502
Kapilbastu,Lumbini,Terai,Western,2011,2068,525
Kapilbastu,Lumbini,Terai,Western,2012,2069,415
Kapilbastu,Lumbini,Terai,Western,2013,2070,361
Arghakhanchi,Lumbini,Hill,Western,2011,2068,5999
