District,Zone,Geographical Region,Development Region,No Of Industries,Total Project Cost,Total Fixed Cost,Foreign Investment,Total No Of Employment
Dhankuta,Kosi,Hill,Eastern,1,46.62,37.62,0.0,120
Jhapa,Mechi,Terai,Eastern,5,784.64,492.48,130.52,1808
Morang,Kosi,Terai,Eastern,22,2008.85,1471.48,314.48,4660
Siraha,Sagarmatha,Terai,Eastern,2,644.0,625.07,97.2,452
Solukhumbu,Sagarmatha,Mountain,Eastern,6,1052.37,975.85,19.33,47
Sunsari,Kosi,Terai,Eastern,13,2101.17,1550.28,1039.25,2838
Taplejung,Mechi,Mountain,Eastern,1,2.1,1.04,1.9,0
Bara,Narayani,Terai,Central,37,6972.4,5569.5,1882.58,4058
Bhaktapur,Bagmati,Hill,Central,29,1620.38,953.45,564.13,2922
Chitawan,Narayani,Terai,Central,33,3101.17,2519.77,946.56,6993
Dhading,Bagmati,Hill,Central,6,274.89,238.3,40.0,418
Dolakha,Janakpur,Mountain,Central,3,5070.2,4568.03,775.73,115
Kathmandu,Bagmati,Hill,Central,470,23860.19,19787.27,8712.69,38137
Kavre,Bagmati,Hill,Central,25,795.63,630.74,386.95,3552
Lalitpur,Bagmati,Hill,Central,93,5352.34,3903.9,2500.96,7169
Makwanpur,Narayani,Hill,Central,36,3248.37,2456.72,849.72,2947
Nuwakot,Bagmati,Hill,Central,4,133.88,128.05,29.0,433
Parsa,Narayani,Terai,Central,25,1912.83,1570.68,353.84,3966
Ramechhap,Janakpur,Hill,Central,1,291.34,237.89,262.21,200
Rasuwa,Bagmati,Mountain,Central,4,2287.52,2219.5,595.71,66
Rautahat,Narayani,Terai,Central,1,559.18,509.18,44.06,589
Sindhupalchok,Bagmati,Mountain,Central,6,6777.73,6556.09,1237.08,2452
Arghakhanchi,Lumbini,Hill,Western,1,1242.09,119.68,448.0,171
Gorkha,Gandaki,Hill,Western,3,694.09,640.02,65.23,654
Kapilbastu,Lumbini,Terai,Western,6,360.71,170.53,248.31,164
Kaski,Gandaki,Hill,Western,49,9707.49,9177.15,2787.95,2814
Lamjung,Gandaki,Hill,Western,2,93.93,72.65,24.15,368
Manang Tan,,,,1,75.0,69.75,47.01,635
Mustang,Dhawalagiri,Mountain,Western,2,461.74,449.11,1.07,115
Nawalparasi,Lumbini,Terai,Western,17,2572.68,2213.76,315.4,2565
Palpa,Lumbini,Hill,Western,1,30.0,23.38,4.9,24
Parbat,Dhawalagiri,Hill,Western,1,1100.0,1089.0,1.5,2614
Rupandehi,Lumbini,Terai,Western,20,2288.28,1717.13,780.61,1464
Tanahu,Gandaki,Hill,Western,1,39.02,29.7,5.0,78
Kaski,Gandaki,Hill,Western,1,26.67,20.31,10.0,22
Banke,Bheri,Terai,Mid-Western,11,441.63,350.14,111.64,1179
Bardiya,Bheri,Terai,Mid-Western,3,29.88,27.56,10.14,184
Rolpa,Rapti,Hill,Mid-Western,1,3.22,3.0,0.0,18
Achham,Seti,Hill,Far-Western,2,61.38,51.68,48.18,0
Kailali,Seti,Terai,Far-Western,1,901.54,855.21,175.3,728
Kanchanpur,Mahakali,Terai,Far-Western,6,105.15,53.69,19.5,493
Kavre,Bagmati,Hill,Central,1,30.0,28.0,20.4,40
