Purpose of visit,Year,Month,Nepalese going aboard by purpose of visit and month
Entertainment,2012,Jan.,3491
Entertainment,2012,Feb.,2844
Entertainment,2012,Mar.,3078
Entertainment,2012,Apr.,3195
Entertainment,2012,May,2707
Entertainment,2012,Jun.,2500
Entertainment,2012,Jul.,3089
Entertainment,2012,Aug.,3921
Entertainment,2012,Sep.,3519
Entertainment,2012,Oct.,5480
Entertainment,2012,Nov.,2426
Entertainment,2012,Dec.,3019
Health Check up,2012,Jan.,1187
Health Check up,2012,Feb.,1216
Health Check up,2012,Mar.,1370
Health Check up,2012,Apr.,1259
Health Check up,2012,May,1143
Health Check up,2012,Jun.,766
Health Check up,2012,Jul.,1143
Health Check up,2012,Aug.,1100
Health Check up,2012,Sep.,1229
Health Check up,2012,Oct.,970
Health Check up,2012,Nov.,895
Health Check up,2012,Dec.,1297
Business,2012,Jan.,1509
Business,2012,Feb.,1683
Business,2012,Mar.,1650
Business,2012,Apr.,1573
Business,2012,May,1447
Business,2012,Jun.,1438
Business,2012,Jul.,1850
Business,2012,Aug.,1981
Business,2012,Sep.,1882
Business,2012,Oct.,1416
Business,2012,Nov.,1109
Business,2012,Dec.,1780
Pilgrimage,2012,Jan.,629
Pilgrimage,2012,Feb.,784
Pilgrimage,2012,Mar.,670
Pilgrimage,2012,Apr.,494
Pilgrimage,2012,May,317
Pilgrimage,2012,Jun.,371
Pilgrimage,2012,Jul.,396
Pilgrimage,2012,Aug.,348
Pilgrimage,2012,Sep.,305
Pilgrimage,2012,Oct.,1136
Pilgrimage,2012,Nov.,398
Pilgrimage,2012,Dec.,585
Official,2012,Jan.,834
Official,2012,Feb.,607
Official,2012,Mar.,646
Official,2012,Apr.,743
Official,2012,May,945
Official,2012,Jun.,840
Official,2012,Jul.,639
Official,2012,Aug.,750
Official,2012,Sep.,751
Official,2012,Oct.,579
Official,2012,Nov.,659
Official,2012,Dec.,735
Conference,2012,Jan.,1151
Conference,2012,Feb.,1280
Conference,2012,Mar.,1258
Conference,2012,Apr.,1489
Conference,2012,May,1605
Conference,2012,Jun.,1517
Conference,2012,Jul.,1053
Conference,2012,Aug.,1116
Conference,2012,Sep.,1454
Conference,2012,Oct.,1496
Conference,2012,Nov.,1572
Conference,2012,Dec.,1516
Study/Training,2012,Jan.,4400
Study/Training,2012,Feb.,3163
Study/Training,2012,Mar.,3204
Study/Training,2012,Apr.,2538
Study/Training,2012,May,2535
Study/Training,2012,Jun.,2736
Study/Training,2012,Jul.,3627
Study/Training,2012,Aug.,4623
Study/Training,2012,Sep.,3700
Study/Training,2012,Oct.,2737
Study/Training,2012,Nov.,3486
Study/Training,2012,Dec.,3546
Employment,2012,Jan.,39228
Employment,2012,Feb.,41130
Employment,2012,Mar.,47781
Employment,2012,Apr.,44702
Employment,2012,May,47769
Employment,2012,Jun.,50155
Employment,2012,Jul.,44992
Employment,2012,Aug.,39048
Employment,2012,Sep.,39628
Employment,2012,Oct.,33349
Employment,2012,Nov.,43422
Employment,2012,Dec.,66632
Sports,2012,Jan.,92
Sports,2012,Feb.,83
Sports,2012,Mar.,109
Sports,2012,Apr.,73
Sports,2012,May,119
Sports,2012,Jun.,104
Sports,2012,Jul.,97
Sports,2012,Aug.,160
Sports,2012,Sep.,126
Sports,2012,Oct.,110
Sports,2012,Nov.,90
Sports,2012,Dec.,76
Others,2012,Jan.,9244
Others,2012,Feb.,8797
Others,2012,Mar.,10055
Others,2012,Apr.,9186
Others,2012,May,8736
Others,2012,Jun.,8918
Others,2012,Jul.,9249
Others,2012,Aug.,9312
Others,2012,Sep.,7912
Others,2012,Oct.,7280
Others,2012,Nov.,8696
Others,2012,Dec.,11251
Not Specified,2012,Jan.,5463
Not Specified,2012,Feb.,5705
Not Specified,2012,Mar.,6016
Not Specified,2012,Apr.,7487
Not Specified,2012,May,6059
Not Specified,2012,Jun.,7634
Not Specified,2012,Jul.,7052
Not Specified,2012,Aug.,6426
Not Specified,2012,Sep.,5128
Not Specified,2012,Oct.,3846
Not Specified,2012,Nov.,6131
Not Specified,2012,Dec.,2735
Entertainment,2013,Jan.,3017
Entertainment,2013,Feb.,2303
Entertainment,2013,Mar.,2622
Entertainment,2013,Apr.,2475
Entertainment,2013,May,2846
Entertainment,2013,Jun.,2579
Entertainment,2013,Jul.,2706
Entertainment,2013,Aug.,2957
Entertainment,2013,Sep.,3211
Entertainment,2013,Oct.,3259
Entertainment,2013,Nov.,2442
Entertainment,2013,Dec,2282
Health Check up,2013,Jan.,1126
Health Check up,2013,Feb.,1160
Health Check up,2013,Mar.,1303
Health Check up,2013,Apr.,1168
Health Check up,2013,May,1021
Health Check up,2013,Jun.,857
Health Check up,2013,Jul.,1105
Health Check up,2013,Aug.,1327
Health Check up,2013,Sep.,1650
Health Check up,2013,Oct.,1163
Health Check up,2013,Nov.,886
Health Check up,2013,Dec,828
Business,2013,Jan.,1637
Business,2013,Feb.,1531
Business,2013,Mar.,2049
Business,2013,Apr.,1599
Business,2013,May,1552
Business,2013,Jun.,1622
Business,2013,Jul.,1990
Business,2013,Aug.,1754
Business,2013,Sep.,2616
Business,2013,Oct.,2287
Business,2013,Nov.,1526
Business,2013,Dec,1176
Pilgrimage,2013,Jan.,584
Pilgrimage,2013,Feb.,417
Pilgrimage,2013,Mar.,463
Pilgrimage,2013,Apr.,364
Pilgrimage,2013,May,392
Pilgrimage,2013,Jun.,350
Pilgrimage,2013,Jul.,374
Pilgrimage,2013,Aug.,237
Pilgrimage,2013,Sep.,1069
Pilgrimage,2013,Oct.,542
Pilgrimage,2013,Nov.,440
Pilgrimage,2013,Dec,430
Official,2013,Jan.,822
Official,2013,Feb.,716
Official,2013,Mar.,554
Official,2013,Apr.,750
Official,2013,May,831
Official,2013,Jun.,910
Official,2013,Jul.,695
Official,2013,Aug.,700
Official,2013,Sep.,1014
Official,2013,Oct.,1005
Official,2013,Nov.,646
Official,2013,Dec,631
