Year AD,Year BS,Month,Nepalese going aboard by month
2000,2057,Jan.,11855
2000,2057,Feb.,10648
2000,2057,Mar.,12862
2000,2057,Apr.,11105
2000,2057,May,12305
2000,2057,Jun.,15515
2000,2057,Jul.,14559
2000,2057,Aug.,12671
2000,2057,Sep.,13735
2000,2057,Oct.,12160
2000,2057,Nov.,14051
2000,2057,Dec.,13895
2001,2058,Jan.,14676
2001,2058,Feb.,13510
2001,2058,Mar.,14805
2001,2058,Apr.,13028
2001,2058,May,15568
2001,2058,Jun.,16444
2001,2058,Jul.,20373
2001,2058,Aug.,19947
2001,2058,Sep.,17995
2001,2058,Oct.,15763
2001,2058,Nov.,18239
2001,2058,Dec.,19200
2002,2059,Jan.,19398
2002,2059,Feb.,17778
2002,2059,Mar.,18953
2002,2059,Apr.,18769
2002,2059,May,20297
2002,2059,Jun.,18361
2002,2059,Jul.,20650
2002,2059,Aug.,26083
2002,2059,Sep.,20400
2002,2059,Oct.,17722
2002,2059,Nov.,17614
2002,2059,Dec.,22399
2003,2060,Jan.,25600
2003,2060,Feb.,19296
2003,2060,Mar.,18809
2003,2060,Apr.,19495
2003,2060,May,22639
2003,2060,Jun.,20143
2003,2060,Jul.,21450
2003,2060,Aug.,23608
2003,2060,Sep.,23449
2003,2060,Oct.,20012
2003,2060,Nov.,20200
2003,2060,Dec.,22824
2004,2061,Jan.,21278
2004,2061,Feb.,23723
2004,2061,Mar.,24159
2004,2061,Apr.,21505
2004,2061,May,21600
2004,2061,Jun.,25375
2004,2061,Jul.,28534
2004,2061,Aug.,28560
2004,2061,Sep.,17143
2004,2061,Oct.,20153
2004,2061,Nov.,24009
2004,2061,Dec.,30418
2005,2062,Jan.,32102
2005,2062,Feb.,21400
2005,2062,Mar.,28222
2005,2062,Apr.,26383
2005,2062,May,31510
2005,2062,Jun.,31457
2005,2062,Jul.,33049
2005,2062,Aug.,31371
2005,2062,Sep.,33399
2005,2062,Oct.,28975
2005,2062,Nov.,33602
2005,2062,Dec.,41892
2006,2063,Jan.,34974
2006,2063,Feb.,30915
2006,2063,Mar.,35455
2006,2063,Apr.,25105
2006,2063,May,41147
2006,2063,Jun.,35501
2006,2063,Jul.,33025
2006,2063,Aug.,37945
2006,2063,Sep.,37053
2006,2063,Oct.,28466
2006,2063,Nov.,35627
2006,2063,Dec.,40132
2007,2064,Jan.,38693
2007,2064,Feb.,34958
2007,2064,Mar.,45129
2007,2064,Apr.,40201
2007,2064,May,43000
2007,2064,Jun.,40212
2007,2064,Jul.,40376
2007,2064,Aug.,33298
2007,2064,Sep.,36228
2007,2064,Oct.,31858
2007,2064,Nov.,39500
2007,2064,Dec.,45159
2008,2065,Jan.,46497
2008,2065,Feb.,42649
2008,2065,Mar.,46795
2008,2065,Apr.,42419
2008,2065,May,50671
2008,2065,Jun.,50491
2008,2065,Jul.,47105
2008,2065,Aug.,49728
2008,2065,Sep.,50432
2008,2065,Oct.,36332
2008,2065,Nov.,48702
2008,2065,Dec.,48992
2009,2066,Jan.,47478
2009,2066,Feb.,42388
2009,2066,Mar.,46649
2009,2066,Apr.,46289
2009,2066,May,46754
2009,2066,Jun.,45881
2009,2066,Jul.,46944
2009,2066,Aug.,51572
2009,2066,Sep.,46151
2009,2066,Oct.,50166
2009,2066,Nov.,59242
2009,2066,Dec.,59131
2010,2067,Jan.,65369
2010,2067,Feb.,53925
2010,2067,Mar.,68443
2010,2067,Apr.,66814
2010,2067,May,64707
2010,2067,Jun.,63931
2010,2067,Jul.,64725
2010,2067,Aug.,63124
2010,2067,Sep.,58177
2010,2067,Oct.,51156
2010,2067,Nov.,67248
2010,2067,Dec.,77216
2011,2068,Jan.,72095
2011,2068,Feb.,56636
2011,2068,Mar.,65281
2011,2068,Apr.,67250
2011,2068,May,63409
2011,2068,Jun.,67910
2011,2068,Jul.,68202
2011,2068,Aug.,64330
2011,2068,Sep.,61434
2011,2068,Oct.,52959
2011,2068,Nov.,69196
2011,2068,Dec.,65252
2012,2069,Jan.,67228
2012,2069,Feb.,67292
2012,2069,Mar.,75837
2012,2069,Apr.,72739
2012,2069,May,73382
2012,2069,Jun.,76979
2012,2069,Jul.,73187
2012,2069,Aug.,68785
2012,2069,Sep.,65634
2012,2069,Oct.,58399
2012,2069,Nov.,68884
2012,2069,Dec.,93172
2012,2069,Jan.,91281
2012,2069,Feb.,70635
2012,2069,Mar.,88627
2012,2069,Apr.,75323
2012,2069,May,83179
2012,2069,Jun.,82167
2012,2069,Jul.,89159
2012,2069,Aug.,75200
2012,2069,Sep.,81946
2012,2069,Oct.,81946
2012,2069,Nov.,81946
2012,2069,Dec.,81946
