Category,Subcategory,Services and Functions,Source,Grant/ loan,Budget (In '000)
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",President,Government,,411742
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",President,Foreign,Grant,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",President,Foreign,Loan,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Deputy President,Government,,29230
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Deputy President,Foreign,Grant,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Deputy President,Foreign,Loan,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Constituent Assembly / Legislature - Parliament,Government,,1270644
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Constituent Assembly / Legislature - Parliament,Foreign,Grant,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Constituent Assembly / Legislature - Parliament,Foreign,Loan,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Commission for Investigation of Abuse of Authority,Government,,794924
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Commission for Investigation of Abuse of Authority,Foreign,Grant,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Commission for Investigation of Abuse of Authority,Foreign,Loan,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Office of the Auditor General,Government,,407576
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Office of the Auditor General,Foreign,Grant,108812
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Office of the Auditor General,Foreign,Loan,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Prime Minister and Council of Minister's Office,Government,,507359
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Prime Minister and Council of Minister's Office,Foreign,Grant,3513817
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Prime Minister and Council of Minister's Office,Foreign,Loan,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Finance,Government,,5899124
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Finance,Foreign,Grant,566357
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Finance,Foreign,Loan,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Foreign Affairs,Government,,2847949
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Foreign Affairs,Foreign,Grant,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Foreign Affairs,Foreign,Loan,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MInistry of Urban Development,Government,,76594
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MInistry of Urban Development,Foreign,Grant,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",MInistry of Urban Development,Foreign,Loan,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Cooperative and poverty Alleviation,Government,,155773
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Cooperative and poverty Alleviation,Foreign,Grant,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of Cooperative and poverty Alleviation,Foreign,Loan,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of General Administration,Government,,55265
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of General Administration,Foreign,Grant,0
GENERAL PUBLIC SERVICES,"Executive and legislative organs, financial, fiscal affairs and external",Ministry of General Administration,Foreign,Loan,0
