title,source,csv file,git hub csv file,pdf link,pdf name,year
Ministry Wise foreign grants and loans 2014-15,"Ministry of Finance, Financial Comptroller General Office",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_32.csv&nid=5267,"https://github.com/opennepal/odp-Economy/tree/master/Ministry Wise foreign grants and loans, 2014-15",http://www.mof.gov.np/uploads/document/file/Red Book FY 2014-15_20140917050612.pdf ,Red Book FY 2014-15_20140917050612.pdf ,
Red Book budget -Ministry wise expenditure2014-15,Ministry of Finance,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_33.csv&nid=5266,"https://github.com/opennepal/odp-Economy/tree/master/Red Book budget -Ministry wise expenditure,2014-15",http://www.mof.gov.np/uploads/document/file/Red Book FY 2014-15_20140917050612.pdf,Red Book FY 2014-15_20140917050612.pdf,
Number of telephone subscribers,,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/No of telephone subscibers.csv&nid=4488,https://github.com/opennepal/odp-Economy/tree/master/Number of telephone subscribers,,,
Unemployment status,,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Unemployment 2008.csv&nid=4487,https://github.com/opennepal/odp-Economy/tree/master/Unemployment status,http://cbs.gov.np/wp-content/uploads/2012/02/NLFS-2008 Report.pdf,NLFS-2008 Report.pdf,
International Trade 2060-61 - 2069-70,Department of Commerce and Supply Management,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/trade status.csv&nid=4405,"https://github.com/opennepal/odp-Economy/tree/master/International Trade ,2060-61 - 2069-70",http://www.mocs.gov.np/uploads/Publication/Annual Budget Book/Budget Book 2070_71_20700622.pdf,Budget Book 2070_71_20700622.pdf,2060/61-2069/70
Percentage of remitters (absentees and other combined ) by location age and sex(2008),Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Information of remitters.csv&nid=4401,"https://github.com/opennepal/odp-Economy/tree/master/Percentage of remitters (absentees and other combined ) by location, age and sex(2008)",http://cbs.gov.np/wp-content/uploads/2012/02/NLFS-2008 Report.pdf,NLFS-2008 Report.pdf,
District wise Per Capita Gross National Income ( 2014),United Nations Development Program  in Nepal,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Distict wise per capita income.csv&nid=3461,https://github.com/opennepal/odp-Economy/tree/master/District wise Per Capita Gross National Income ( 2014),http://www.npc.gov.np/new/uploadedFiles/allFiles/NHDR_Report_2014.pdf,NHDR_Report_2014.pdf,
Labour Productivity (2014),United Nations Development Program  in Nepal,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Labour Productivity 2014_1.csv&nid=3237,https://github.com/opennepal/odp-Economy/tree/master/Labour Productivity (2014),http://www.npc.gov.np/new/uploadedFiles/allFiles/NHDR_Report_2014.pdf,NHDR_Report_2014.pdf,
Number of  Return Nepalese by sex and district2011-2013,"Ministry of Culture, Tourism and Civil Aviation",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Number of Return Nepalese by sex and district(2011-2013).csv&nid=2860,"https://github.com/opennepal/odp-Economy/tree/master/Number of  Return Nepalese by sex and district,2011-2013",https://www.google.com/url?q=http://www.tourism.gov.np/uploaded/TourrismStat2012.pdf&sa=D&usg=ALhdy28k0pBN57XcK2UuYGSl1jplFl_m8w;http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2012.pdf;TourrismStat2013_final integrated.pdf,2011-2013
Number of Nepalese people going abroad2000-2013,"Ministry of Culture, Tourism and Civil Aviation","http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Number of Nepalese people going abroad,2000-2013.csv&nid=2713","https://github.com/opennepal/odp-Economy/tree/master/Number of Nepalese people going abroad,2000-2013",https://www.google.com/url?q=http://www.tourism.gov.np/uploaded/TourrismStat2012.pdf&sa=D&usg=ALhdy28k0pBN57XcK2UuYGSl1jplFl_m8w;http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2012.pdf;TourrismStat2013_final integrated.pdf,2000-2012
Number of Nepalese going aboard by purpose of visit and month 2012-2013,"Ministry of Culture, Tourism and Civil Aviation","http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Number of Nepalese going aboard by purpose of visit and month,2012-2013_0.csv&nid=2712","https://github.com/opennepal/odp-Economy/tree/master/Number of Nepalese going aboard by purpose of visit and month, 2012-2013",https://www.google.com/url?q=http://www.tourism.gov.np/uploaded/TourrismStat2012.pdf&sa=D&usg=ALhdy28k0pBN57XcK2UuYGSl1jplFl_m8w;http://www.tourism.gov.np/uploaded/TourrismStat2013_final integrated.pdf,TourrismStat2012.pdf;TourrismStat2013_final integrated.pdf,2012-2013
No of people migrating outside country for foreign employment sex wise distribution from 2063 to 2069,Ministry of Labour & Employment,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Datasets for OpenNepal - 36.csv&nid=2555,"https://github.com/opennepal/odp-Economy/tree/master/No of people migrating outside country for foreign employment, sex wise distribution from 2063 to 2069",http://www.dofe.gov.np/uploads/document/50_68-69data with chart_20120725092530.pdf,50_68-69data with chart_20120725092530.pdf,2063/064-2068/069
